statusCond = integer optimal, tolerance = 11964643,     statusIndi = integer optimal, tolerance = 11964643,     statusLinear = integer optimal, tolerance = 11964643,     
statusCond = integer optimal, tolerance = 11937621,     statusIndi = integer optimal, tolerance = 11937621,     statusLinear = integer optimal, tolerance = 11937621,     
statusCond = integer optimal, tolerance = 12249135,     statusIndi = integer optimal, tolerance = 12249135,     statusLinear = integer optimal, tolerance = 12249135,     
statusCond = integer optimal, tolerance = 12992303,     statusIndi = integer optimal, tolerance = 12992303,     statusLinear = integer optimal, tolerance = 12992303,     
statusCond = integer optimal, tolerance = 13225503,     statusIndi = integer optimal, tolerance = 13225503,     statusLinear = integer optimal, tolerance = 13225503,     
statusCond = integer optimal, tolerance = 14139658,     statusIndi = integer optimal, tolerance = 14139658,     statusLinear = integer optimal, tolerance = 14139658,     
statusCond = integer optimal, tolerance = 13469972,     statusIndi = integer optimal, tolerance = 13469972,     statusLinear = integer optimal, tolerance = 13469972,     
statusCond = integer optimal, tolerance = 14847260,     statusIndi = integer optimal, tolerance = 14847260,     statusLinear = integer optimal, tolerance = 14847260,     
statusCond = integer optimal, tolerance = 11890133,     statusIndi = integer optimal, tolerance = 11890133,     statusLinear = integer optimal, tolerance = 11890133,     
statusCond = integer optimal, tolerance = 13789275,     statusIndi = integer optimal, tolerance = 13789275,     statusLinear = integer optimal, tolerance = 13789275,     
statusCond = integer optimal, tolerance = 11884066,     statusIndi = integer optimal, tolerance = 11884066,     statusLinear = integer optimal, tolerance = 11884066,     
statusCond = integer optimal, tolerance = 11966696,     statusIndi = integer optimal, tolerance = 11966696,     statusLinear = integer optimal, tolerance = 11966696,     
statusCond = integer optimal, tolerance = 12699147,     statusIndi = integer optimal, tolerance = 12699147,     statusLinear = integer optimal, tolerance = 12699147,     
statusCond = integer optimal, tolerance = 15359327,     statusIndi = integer optimal, tolerance = 15359327,     statusLinear = integer optimal, tolerance = 15359328,     
statusCond = integer optimal, tolerance = 12329157,     statusIndi = integer optimal, tolerance = 12329157,     statusLinear = integer optimal, tolerance = 12329157,     
statusCond = integer optimal, tolerance = 13343977,     statusIndi = integer optimal, tolerance = 13343977,     statusLinear = integer optimal, tolerance = 13343977,     
statusCond = integer optimal, tolerance = 14262988,     statusIndi = integer optimal, tolerance = 14262988,     statusLinear = integer optimal, tolerance = 14262988,     
statusCond = integer optimal, tolerance = 14575615,     statusIndi = integer optimal, tolerance = 14575615,     statusLinear = integer optimal, tolerance = 14576778,     
statusCond = integer optimal, tolerance = 13178358,     statusIndi = integer optimal, tolerance = 13178358,     statusLinear = integer optimal, tolerance = 13179376,     
statusCond = integer optimal, tolerance = 13537403,     statusIndi = integer optimal, tolerance = 13537403,     statusLinear = integer optimal, tolerance = 13537403,     
statusCond = integer optimal, tolerance = 11738095,     statusIndi = integer optimal, tolerance = 11738095,     statusLinear = integer optimal, tolerance = 11738095,     
statusCond = integer optimal, tolerance = 13849603,     statusIndi = integer optimal, tolerance = 13849603,     statusLinear = integer optimal, tolerance = 13849603,     
statusCond = integer optimal, tolerance = 12791792,     statusIndi = integer optimal, tolerance = 12791792,     statusLinear = integer optimal, tolerance = 12791792,     
statusCond = integer optimal, tolerance = 13457553,     statusIndi = integer optimal, tolerance = 13457553,     statusLinear = integer optimal, tolerance = 13457553,     
statusCond = integer optimal, tolerance = 11528965,     statusIndi = integer optimal, tolerance = 11528965,     statusLinear = integer optimal, tolerance = 11528965,     
statusCond = integer optimal, tolerance = 13114944,     statusIndi = integer optimal, tolerance = 13114944,     statusLinear = integer optimal, tolerance = 13114944,     
statusCond = integer optimal, tolerance = 14268228,     statusIndi = integer optimal, tolerance = 14268228,     statusLinear = integer optimal, tolerance = 14268228,     
statusCond = integer optimal, tolerance = 14987377,     statusIndi = integer optimal, tolerance = 14987377,     statusLinear = integer optimal, tolerance = 14987377,     
statusCond = integer optimal, tolerance = 13603547,     statusIndi = integer optimal, tolerance = 13603547,     statusLinear = integer optimal, tolerance = 13603547,     
statusCond = integer optimal, tolerance = 12641904,     statusIndi = integer optimal, tolerance = 12641904,     statusLinear = integer optimal, tolerance = 12641904,     
statusCond = integer optimal, tolerance = 15243969,     statusIndi = integer optimal, tolerance = 15243969,     statusCond = integer optimal, tolerance = 14054681,     statusIndi = integer optimal, tolerance = 14054681,     statusLinear = integer optimal, tolerance = 14054681,     
statusCond = integer optimal, tolerance = 13732521,     statusIndi = integer optimal, tolerance = 13732521,     statusLinear = integer optimal, tolerance = 13732521,     
statusCond = integer optimal, tolerance = 11949999,     statusIndi = integer optimal, tolerance = 11949999,     statusLinear = integer optimal, tolerance = 11949999,     
statusCond = integer optimal, tolerance = 13029938,     statusIndi = integer optimal, tolerance = 13029938,     statusLinear = integer optimal, tolerance = 13029938,     
statusCond = integer optimal, tolerance = 12973558,     statusIndi = integer optimal, tolerance = 12973558,     statusLinear = integer optimal, tolerance = 12973558,     
statusCond = integer optimal, tolerance = 14283250,     statusIndi = integer optimal, tolerance = 14283250,     statusLinear = integer optimal, tolerance = 14283250,     
statusCond = integer optimal, tolerance = 11864458,     statusIndi = integer optimal, tolerance = 11864458,     statusLinear = integer optimal, tolerance = 11864458,     
statusCond = integer optimal, tolerance = 14669278,     statusIndi = integer optimal, tolerance = 14669278,     statusLinear = integer optimal, tolerance = 14669338,     
